"110 CÂU HỎI TRẮC NGHIỆM NGHIỆP VỤ ĐẤU THẦU NĂM 2025 
(Áp dụng cho kỳ thi sát hạch nghiệp vụ)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
,,,,,,,
Phân loại,Câu số/đáp án ,Nội dung câu hỏi,Đáp án,Cho đảo đáp án,Ghi chú,Người biên soạn,"Sau khi rà soát, 
cập nhật"
Q,1,Hộ kinh doanh cá thể có tư cách hợp lệ có được tham dự thầu không?,,,,Dung,
A,a,Có,X,,Điều 5 Luật Đấu thầu 2023,,
A,b,Không,,,,,
Q,2,Thông tin về lựa chọn nhà thầu bao gồm các thông tin gì ?,,,,Dung,
A,a,"Thông tin về dự án, KHLCNT, thông báo mời thầu, danh sách ngắn, KQLCNT",,,,,
A,b,"Thông tin chủ yếu của hợp đồng, thông tin xử lý vi phạm pháp luật về đấu thầu, thông tin về kết quả thực hiện hợp đồng của nhà thầu",,,,,
A,c,Cả a và b,X,,Điều 7 Luật Đấu thầu 2023,,
Q,3,KHLCNT phải được đăng tải trên Hệ thống mạng đấu thầu Quốc gia trong thời hạn bao nhiêu ngày?,,X,,Dung,
A,a,07 ngày làm việc,,,,,
A,b,05 ngày làm việc,X,,Điều 8 Luật Đấu thầu 2023,,
A,c,07 ngày,,,,,
A,d,05 ngày,,,,,
Q,4,"Trường hợp thành viên liên danh vi phạm hợp đồng, không còn năng lực để tiếp tục thực hiện hợp đồng, làm ảnh hưởng nghiêm trọng đến tiến độ, chất lượng, hiệu quả của gói thầu, xử lý nào sau đây không đúng?",,X,,Dung,Đổi câu hỏi mới
A,a,Phạt hợp đồng theo quy định trong hợp đồng,,,,,
A,b,Tịch thu bảo đảm thực hiện hợp đồng của tất cả các thành viên liên danh,X,,Điều 140 Nghị định 214/2025/NĐ-CP,,
A,c,"Giao cho các thành viên còn lại thực hiện nếu các thành viên này đủ năng lực, kinh nghiệm",,,,,
Q,5,"Mức bảo đảm dự thầu là bao nhiêu đối với gói thầu xây lắp, hỗn hợp có giá gói thầu không quá 20 tỷ đồng và gói thầu mua sắm hàng hóa, dịch vụ phi tư vấn có giá gói thầu không quá 10 tỷ đồng?",,X,,Dung,
A,a,"Từ 1% đến 1,5% giá gói thầu",X,,"Điều 14, khoản 4, điểm a Luật Đấu thầu 2023",,
A,b,"Từ 1,5% đến 2% giá gói thầu",,,,,
A,c,"Từ 1,5% đến 3% giá gói thầu",,,,,
Q,6,Bảo đảm dự thầu không được hoàn trả trong các trường hợp nào sau đây:,,,,Dung,Hiệu chỉnh đáp án
A,a,"Nhà thầu rút hồ sơ dự thầu, hồ sơ đề xuất sau thời điểm đóng thầu và trong thời gian có hiệu lực của hồ sơ dự thầu, hồ sơ đề xuất",,,,,
A,b,Nhà thầu có hành vi phạm vi phạm quy định tại Điều 16 (Các hành vi bị cấm trong hoạt động đấu thầu) của Luật này hoặc vi phạm pháp luật về đấu thầu dẫn đến phải hủy thầu.,,,,,
A,c,Nhà thầu không thực hiện biện pháp bảo đảm thực hiện hợp đồng theo quy định tại Điều 68 và Điều 75 của Luật Đấu thầu,,,,,
